品种,综合方向,综合强度,综合星级,净得分,研报分析_方向,研报分析_强度,研报分析_星级,虚实比PCR_方向,虚实比PCR_强度,虚实比PCR_星级,期限结构_方向,期限结构_强度,期限结构_星级,波动率背离_方向,波动率背离_强度,波动率背离_星级,资金面_方向,资金面_强度,资金面_星级
pd_o,多头,2,⭐⭐,6,多头,3,⭐⭐⭐,中性,1,⭐,中性,1,⭐,多头,3,⭐⭐⭐,中性,1,⭐
pt_o,多头,2,⭐⭐,6,多头,3,⭐⭐⭐,中性,1,⭐,中性,1,⭐,多头,3,⭐⭐⭐,中性,1,⭐
au_o,多头,2,⭐⭐,6,多头,3,⭐⭐⭐,中性,1,⭐,中性,1,⭐,多头,3,⭐⭐⭐,中性,1,⭐
UR,多头,2,⭐⭐,5,多头,3,⭐⭐⭐,中性,1,⭐,中性,1,⭐,多头,2,⭐⭐,中性,1,⭐
ZC,多头,2,⭐⭐,5,多头,2,⭐⭐,中性,1,⭐,中性,1,⭐,多头,3,⭐⭐⭐,中性,1,⭐
sc_o,多头,2,⭐⭐,5,多头,3,⭐⭐⭐,中性,1,⭐,中性,1,⭐,多头,2,⭐⭐,中性,1,⭐
AP,多头,2,⭐⭐,4,多头,2,⭐⭐,中性,1,⭐,中性,1,⭐,多头,2,⭐⭐,中性,1,⭐
CF,多头,2,⭐⭐,4,多头,2,⭐⭐,中性,1,⭐,中性,1,⭐,多头,2,⭐⭐,中性,1,⭐
FG,多头,2,⭐⭐,4,多头,3,⭐⭐⭐,中性,1,⭐,空头,2,⭐⭐,多头,3,⭐⭐⭐,中性,1,⭐
PR,多头,2,⭐⭐,4,多头,2,⭐⭐,中性,1,⭐,中性,1,⭐,多头,2,⭐⭐,中性,1,⭐
SA,多头,2,⭐⭐,4,多头,3,⭐⭐⭐,中性,1,⭐,空头,2,⭐⭐,多头,3,⭐⭐⭐,中性,1,⭐
SM,多头,2,⭐⭐,4,多头,2,⭐⭐,中性,1,⭐,中性,1,⭐,多头,2,⭐⭐,中性,1,⭐
SR,多头,2,⭐⭐,4,多头,2,⭐⭐,中性,1,⭐,中性,1,⭐,多头,2,⭐⭐,中性,1,⭐
br_o,多头,2,⭐⭐,4,多头,2,⭐⭐,中性,1,⭐,中性,1,⭐,多头,2,⭐⭐,中性,1,⭐
ni_o,多头,2,⭐⭐,4,多头,3,⭐⭐⭐,中性,1,⭐,空头,2,⭐⭐,多头,3,⭐⭐⭐,中性,1,⭐
ru_o,多头,2,⭐⭐,4,多头,2,⭐⭐,中性,1,⭐,中性,1,⭐,多头,2,⭐⭐,中性,1,⭐
zn_o,多头,2,⭐⭐,4,多头,2,⭐⭐,中性,1,⭐,中性,1,⭐,多头,2,⭐⭐,中性,1,⭐
CJ,多头,1,⭐,3,多头,3,⭐⭐⭐,中性,1,⭐,空头,3,⭐⭐⭐,多头,3,⭐⭐⭐,中性,1,⭐
MA,多头,1,⭐,3,多头,3,⭐⭐⭐,中性,1,⭐,空头,2,⭐⭐,多头,2,⭐⭐,中性,1,⭐
RM,多头,1,⭐,3,多头,3,⭐⭐⭐,中性,1,⭐,空头,2,⭐⭐,多头,2,⭐⭐,中性,1,⭐
TA,多头,1,⭐,3,多头,3,⭐⭐⭐,中性,1,⭐,空头,2,⭐⭐,多头,2,⭐⭐,中性,1,⭐
eg_o,多头,1,⭐,3,多头,3,⭐⭐⭐,中性,1,⭐,空头,3,⭐⭐⭐,多头,3,⭐⭐⭐,中性,1,⭐
i_o,多头,1,⭐,3,多头,3,⭐⭐⭐,中性,1,⭐,空头,3,⭐⭐⭐,多头,3,⭐⭐⭐,中性,1,⭐
jd_o,多头,1,⭐,3,多头,3,⭐⭐⭐,中性,1,⭐,空头,3,⭐⭐⭐,多头,3,⭐⭐⭐,中性,1,⭐
lc_o,多头,1,⭐,3,多头,3,⭐⭐⭐,中性,1,⭐,空头,3,⭐⭐⭐,多头,3,⭐⭐⭐,中性,1,⭐
ps_o,多头,1,⭐,3,多头,3,⭐⭐⭐,中性,1,⭐,空头,3,⭐⭐⭐,多头,3,⭐⭐⭐,中性,1,⭐
si_o,多头,1,⭐,3,多头,3,⭐⭐⭐,中性,1,⭐,空头,3,⭐⭐⭐,多头,3,⭐⭐⭐,中性,1,⭐
ag_o,多头,1,⭐,3,多头,3,⭐⭐⭐,中性,1,⭐,空头,3,⭐⭐⭐,多头,3,⭐⭐⭐,中性,1,⭐
ao_o,多头,1,⭐,3,多头,3,⭐⭐⭐,中性,1,⭐,空头,2,⭐⭐,多头,2,⭐⭐,中性,1,⭐
cu_o,多头,1,⭐,3,多头,3,⭐⭐⭐,中性,1,⭐,空头,3,⭐⭐⭐,多头,3,⭐⭐⭐,中性,1,⭐
fu_o,多头,1,⭐,3,多头,3,⭐⭐⭐,中性,1,⭐,空头,3,⭐⭐⭐,多头,3,⭐⭐⭐,中性,1,⭐
OI,多头,1,⭐,2,多头,2,⭐⭐,中性,1,⭐,空头,2,⭐⭐,多头,2,⭐⭐,中性,1,⭐
SF,多头,1,⭐,2,多头,2,⭐⭐,中性,1,⭐,空头,2,⭐⭐,多头,2,⭐⭐,中性,1,⭐
b_o,多头,1,⭐,2,多头,3,⭐⭐⭐,中性,1,⭐,空头,3,⭐⭐⭐,多头,2,⭐⭐,中性,1,⭐
bz_o,多头,1,⭐,2,多头,3,⭐⭐⭐,中性,1,⭐,空头,3,⭐⭐⭐,多头,2,⭐⭐,中性,1,⭐
c_o,多头,1,⭐,2,多头,3,⭐⭐⭐,中性,1,⭐,空头,3,⭐⭐⭐,多头,2,⭐⭐,中性,1,⭐
eb_o,多头,1,⭐,2,多头,3,⭐⭐⭐,中性,1,⭐,空头,3,⭐⭐⭐,多头,2,⭐⭐,中性,1,⭐
l_o,多头,1,⭐,2,多头,3,⭐⭐⭐,中性,1,⭐,空头,3,⭐⭐⭐,多头,2,⭐⭐,中性,1,⭐
